lat,lon,cluster
40.716,-74.0123,0
40.7216,-74.0083,0
40.721,-74.0084,0
40.7251,-74.0013,0
40.6521,-73.9526,-1
40.7707,-73.9806,0
40.7137,-74.0636,-1
40.7137,-74.0636,-1
40.7458,-73.9879,0
40.7291,-74.0092,0
40.7232,-74.0097,0
40.7094,-74.0137,0
40.7591,-73.9709,0
40.7803,-73.973,0
40.7242,-73.9878,0
40.7426,-73.9863,0
40.7418,-74.0075,0
40.7546,-73.9714,0
40.7627,-73.9821,0
40.7791,-73.962,0
40.7133,-73.9647,-1
40.7508,-74.0422,-1
40.7565,-73.9724,0
40.7644,-73.9754,0
40.7233,-74.008,0
40.7036,-73.9309,-1
40.716,-74.0499,-1
40.716,-74.0499,-1
40.7652,-73.9655,0
40.74,-74.0059,0
40.7676,-73.9684,0
40.7596,-73.9806,0
40.7711,-73.9661,0
40.7342,-73.985,0
40.7145,-74.0119,0
40.7271,-74.0054,0
40.7696,-73.9662,0
40.7586,-73.9863,0
40.7259,-73.9974,0
40.7715,-73.9678,0
40.7443,-73.9888,0
40.7388,-74.0056,0
40.7788,-73.9822,0
40.7412,-74.005,0
40.7275,-74.0015,0
40.7038,-73.9866,0
40.7063,-74.009,0
40.7743,-73.9543,0
40.7726,-73.9613,0
40.726,-73.9918,0
40.748,-73.985,0
40.7341,-73.9951,0
40.7687,-73.8671,1
40.6893,-73.9966,2
40.7628,-73.9691,0
40.7331,-73.9998,0
40.7754,-73.9841,0
40.7749,-73.9609,0
40.78,-73.9786,0
40.7393,-74.0421,-1
40.7393,-74.0421,-1
40.7261,-73.9926,0
40.81,-73.9513,-1
40.7492,-74.003,0
40.7103,-73.9846,0
40.748,-74.0002,0
40.7507,-74.0034,0
40.7282,-74.0072,0
40.8024,-73.9365,-1
40.7403,-73.9947,0
40.762,-73.9684,0
40.7494,-74.0031,0
40.747,-74.0063,0
40.73,-73.9917,0
40.7594,-73.9753,0
40.7554,-73.9758,0
40.7249,-74.0083,0
40.7096,-74.015,0
40.7702,-73.9807,0
40.7554,-73.9871,0
40.7438,-73.9837,0
40.7411,-73.9879,0
40.6775,-73.9468,-1
40.7467,-73.9437,-1
40.7069,-74.0162,0
40.7638,-73.9734,0
40.7932,-73.9704,0
40.773,-73.9891,0
40.7624,-73.9821,0
40.7176,-74.0014,0
40.7854,-73.9558,0
40.7475,-73.944,-1
40.7662,-73.9564,0
40.7418,-74.0044,0
40.7532,-73.9688,0
40.7459,-73.978,0
40.7682,-73.862,1
40.7368,-73.9914,0
40.7608,-73.9789,0
40.7113,-73.9484,-1
40.7473,-73.9896,0
40.7487,-73.9903,0
40.7595,-73.9717,0
40.7637,-73.9961,0
40.7815,-73.9792,0
40.7526,-73.9886,0
40.7619,-73.9728,0
40.7523,-73.9771,0
40.7592,-73.9945,0
40.7585,-73.9708,0
40.7636,-73.9755,0
40.6989,-73.976,2
40.6959,-73.8433,-1
40.7486,-74.0064,0
40.7579,-73.9791,0
40.7942,-73.9763,0
40.7942,-73.9763,0
40.7323,-74.0006,0
40.7645,-73.9673,0
40.7524,-73.9684,0
40.7517,-73.9788,0
40.7563,-73.9801,0
40.7519,-73.9751,0
40.6586,-73.934,-1
40.7575,-73.9747,0
40.7474,-73.9832,0
40.761,-73.9751,0
40.7578,-73.9692,0
40.7483,-73.9863,0
40.6636,-73.9583,-1
40.7199,-73.9566,-1
40.7551,-73.9738,0
40.7427,-74.0078,0
40.7726,-73.9667,0
40.7695,-73.9518,0
40.7365,-73.9888,0
40.7484,-73.9884,0
40.7668,-73.9909,0
40.8057,-73.8726,-1
40.744,-73.9996,0
40.7406,-73.9914,0
40.7187,-74.0452,-1
40.7187,-74.0452,-1
40.7768,-73.9611,0
40.7685,-73.9597,0
40.7581,-73.9647,0
40.7572,-73.9731,0
40.7312,-73.9915,0
40.7277,-74.0081,0
40.7384,-73.9866,0
40.74,-73.9741,0
40.7577,-73.9711,0
40.8087,-73.9446,-1
40.8087,-73.9446,-1
40.7831,-73.9552,0
40.7692,-73.9693,0
40.7671,-73.9845,0
40.7488,-74.0083,0
40.7532,-73.9949,0
40.7495,-73.9923,0
40.7067,-74.0095,0
40.71,-74.0047,0
40.7585,-74.0,0
