lat,lon,cluster
40.7648,-73.9645,0
40.7416,-73.9561,1
40.7438,-73.9739,0
40.7939,-73.9724,0
40.7055,-73.9317,1
40.7789,-73.9558,0
40.7608,-73.999,0
40.8096,-74.1044,-1
40.8299,-73.9499,-1
40.7748,-73.9787,0
40.7415,-73.976,0
40.7829,-73.9553,0
40.7552,-73.9946,0
40.768,-73.9846,0
40.7509,-74.0019,0
40.7368,-73.9888,0
40.7183,-74.0151,0
40.7321,-74.0023,0
40.7759,-73.9833,0
40.7226,-73.9768,0
40.7769,-73.9822,0
40.7465,-74.026,-1
40.7446,-74.0028,0
40.7577,-73.985,0
40.7258,-73.985,0
40.7485,-74.0449,-1
40.7305,-73.9927,0
40.692,-73.9853,2
40.7453,-73.9907,0
40.7597,-73.9959,0
40.6346,-73.9738,-1
40.7325,-73.9912,0
40.714,-73.9326,1
40.7302,-73.9756,0
40.7607,-73.9991,0
40.7612,-73.932,-1
40.7679,-73.9915,0
40.7679,-73.9915,0
40.6865,-73.984,2
40.6865,-73.984,2
40.6675,-73.9877,-1
40.7828,-73.9551,0
40.7693,-73.9535,0
40.7397,-73.9906,0
40.7519,-73.9842,0
40.7212,-73.9564,1
40.6881,-73.9837,2
40.7339,-74.0046,0
40.7693,-73.9234,-1
40.7259,-73.9774,0
40.7428,-73.9588,1
40.7944,-73.9662,0
40.7848,-73.9761,0
40.7406,-73.9795,0
40.7118,-73.9236,1
40.7289,-73.9763,0
40.6856,-73.9949,2
40.7193,-73.9955,0
40.7212,-74.0008,0
40.742,-74.0084,0
40.7584,-73.9922,0
40.7087,-73.9519,1
40.6948,-73.9838,2
40.743,-73.8322,-1
40.6925,-73.9246,1
40.7341,-73.9813,0
40.7592,-73.9727,0
40.721,-73.9555,1
40.7368,-74.004,0
40.7482,-73.9879,0
40.7456,-74.0015,0
40.7055,-74.008,0
40.6815,-73.9466,2
40.735,-73.997,0
40.735,-73.997,0
40.7389,-73.9813,0
40.7873,-73.9802,0
40.6903,-73.9477,-1
40.7203,-73.9891,0
40.7792,-73.9486,0
40.7356,-74.0074,0
40.6888,-73.9855,2
40.7406,-74.0077,0
40.7228,-74.0048,0
40.7313,-73.9887,0
40.7788,-73.9583,0
40.694,-73.9298,1
40.6976,-73.931,1
40.6825,-73.9959,2
40.7245,-74.0102,0
40.7627,-73.9655,0
40.7768,-73.9612,0
40.6232,-73.9689,-1
40.7357,-73.9939,0
40.7202,-73.9615,1
40.7593,-73.9957,0
40.7328,-73.9746,0
40.6801,-73.9746,2
40.7271,-73.9563,1
40.6754,-73.9714,2
40.7477,-74.002,0
40.776,-73.956,0
40.7385,-73.9854,0
40.7385,-73.9854,0
40.6396,-73.9651,-1
40.6978,-73.9484,1
40.7543,-73.9711,0
40.7133,-73.9921,0
40.6726,-73.9573,2
40.7438,-74.0062,0
40.7242,-73.9961,0
40.7191,-73.9851,0
40.7754,-73.9904,0
40.6781,-73.9961,2
40.7367,-73.9876,0
40.764,-73.9881,0
40.7732,-73.9187,-1
40.783,-73.974,0
40.7518,-73.9769,0
40.6759,-73.9165,-1
40.7249,-73.9883,0
40.6926,-73.9478,1
40.6735,-73.9686,2
40.657,-73.9518,-1
40.7482,-74.0057,0
40.779,-73.9764,0
40.7087,-73.9443,1
40.7062,-74.0059,0
40.7533,-73.994,0
40.7522,-73.9818,0
40.7372,-73.9915,0
40.6865,-73.9906,2
40.6883,-73.9211,-1
40.69,-73.9157,-1
40.7592,-73.9611,0
40.676,-73.9595,2
40.6833,-73.9942,2
40.7238,-74.0006,0
40.7761,-73.9896,0
40.7285,-73.9761,0
40.7744,-73.9452,0
40.7125,-73.9237,1
40.7585,-73.984,0
40.7926,-73.9648,0
40.6945,-73.9312,1
40.7594,-73.9943,0
40.7057,-74.0086,0
40.7434,-73.992,0
40.6818,-73.9945,2
40.7814,-73.9803,0
40.7158,-73.9901,0
40.7027,-73.9373,1
40.7191,-73.9539,1
40.7821,-73.9459,0
40.689,-73.9889,2
40.7727,-73.9615,0
40.665,-73.9613,-1
40.7056,-74.0079,0
40.7713,-73.9093,-1
40.7537,-73.9644,0
40.7486,-73.9393,-1
40.703,-73.9859,0
40.7627,-73.9812,0
40.7137,-74.0086,0
40.7115,-74.0061,0
40.7191,-74.0104,0
40.7886,-73.9712,0
40.7418,-74.004,0
40.7545,-73.9695,0
40.7587,-73.986,0
40.7756,-73.9484,0
40.7381,-73.9944,0
40.7483,-73.9713,0
40.7059,-74.0132,0
40.6912,-73.9899,2
40.803,-73.9564,0
40.7067,-74.016,0
40.7529,-74.0041,0
40.77,-73.9493,0
40.6876,-73.9808,2
40.7154,-74.0107,0
40.7689,-73.867,-1
40.7709,-73.9477,0
40.7202,-73.9835,0
40.7419,-74.0041,0
40.7511,-73.9869,0
40.7128,-73.9644,1
40.735,-74.0028,0
