lat,lon,cluster
40.7528,-73.9858,0
40.7263,-74.0018,0
40.7263,-73.9917,0
40.7813,-73.9516,-1
40.717,-73.9987,0
40.7716,-73.9827,0
40.7228,-73.9983,0
40.7164,-74.0097,0
40.7145,-74.0105,0
40.7424,-74.0039,0
40.7413,-73.9932,0
40.6737,-74.0097,-1
40.7204,-73.8453,-1
40.7217,-74.041,-1
40.7292,-73.9872,0
40.7501,-73.9749,0
40.738,-74.0002,0
40.7656,-73.9718,0
40.7493,-73.9489,-1
40.742,-74.0042,0
40.7542,-73.9848,0
40.7459,-73.9759,0
40.7593,-73.9683,0
40.715,-74.0113,0
40.739,-74.0006,0
40.7764,-73.9762,-1
40.8057,-73.9654,-1
40.7886,-73.9781,-1
40.7445,-73.9811,0
40.7293,-73.9871,0
40.741,-74.0355,-1
40.7204,-73.9872,0
40.737,-73.9803,0
40.7386,-73.9893,0
40.7348,-73.9888,0
40.7321,-73.9896,0
40.6673,-73.9599,-1
40.7194,-74.0097,0
40.7507,-74.0245,-1
40.7324,-73.9949,0
40.7554,-74.0313,-1
40.7432,-74.0084,0
40.7267,-73.9998,0
40.7136,-73.9991,0
40.7423,-74.0044,0
40.7415,-73.9988,0
40.735,-73.9986,0
40.7849,-73.9496,-1
40.7849,-73.9496,-1
40.7375,-74.0313,-1
40.7414,-74.0085,0
40.7437,-73.9913,0
40.7169,-74.0123,0
40.7612,-73.9936,0
40.7396,-74.0018,0
40.7397,-74.0055,0
40.7239,-74.0039,0
40.7523,-73.9953,0
40.7523,-73.9953,0
40.7518,-73.9846,0
40.7238,-74.0048,0
40.7198,-74.0001,0
40.8011,-73.968,-1
40.7094,-74.011,2
40.7452,-73.989,0
40.7452,-73.989,0
40.7369,-73.9898,0
40.7656,-73.9794,0
40.7203,-74.0011,0
40.7464,-73.972,-1
40.7219,-73.9805,0
40.7394,-74.0019,0
40.7411,-73.9878,0
40.7559,-73.9728,0
40.756,-73.9927,0
40.7341,-74.0029,0
40.7271,-74.0343,-1
40.7592,-73.9919,0
40.6894,-73.9849,-1
40.7819,-73.9488,-1
40.719,-73.9975,0
40.7644,-73.9616,-1
40.7342,-73.9949,0
40.7333,-73.9987,0
40.7406,-74.0077,0
40.7152,-74.0102,0
40.726,-74.0083,0
40.7188,-73.9948,0
40.7165,-73.991,0
40.7428,-73.9871,0
40.7198,-74.0325,-1
40.7478,-73.9869,0
40.6816,-73.9577,-1
40.7601,-73.9616,-1
40.7197,-73.9578,1
40.7421,-74.0041,0
40.7286,-73.9591,-1
40.77,-73.9927,-1
40.7421,-74.0045,0
40.7297,-73.9601,-1
40.7598,-73.9915,0
40.7588,-73.9911,0
40.723,-74.008,0
40.7318,-74.0033,0
