lat,lon,cluster
40.7458,-73.8273,-1
40.7415,-74.0086,0
40.7278,-73.9851,0
40.7632,-73.9719,0
40.7215,-73.9884,0
40.7615,-73.9678,0
40.7581,-73.9721,0
40.6882,-73.9467,1
40.7502,-73.9809,0
40.7641,-73.967,0
40.7261,-73.9887,0
40.7806,-73.9477,0
40.7646,-73.9707,0
40.7741,-73.9812,0
40.7142,-73.9494,1
40.7378,-73.9975,0
40.742,-74.0038,0
40.858,-73.8675,-1
40.7669,-73.9711,0
40.7131,-73.9578,1
40.7414,-74.0082,0
40.7352,-73.9894,0
40.7397,-74.0,0
40.6897,-73.9743,2
40.7407,-74.0056,0
40.7241,-73.9843,0
40.6898,-73.9774,2
40.7336,-74.0028,0
40.7751,-73.9908,0
40.7406,-74.0064,0
40.7445,-73.9846,0
40.726,-74.0084,0
40.7394,-73.9825,0
40.7065,-73.9442,1
40.7278,-73.9982,0
40.7155,-74.014,0
40.7215,-73.9973,0
40.7342,-73.999,0
40.7228,-73.9855,0
40.7175,-73.9557,1
40.7604,-73.962,0
40.7585,-73.9868,0
40.6918,-73.9142,-1
40.7748,-73.9506,0
40.6884,-73.9796,2
40.7388,-74.0041,0
40.7045,-74.0109,0
40.7171,-74.0046,0
40.759,-73.9655,0
40.7139,-73.9598,1
40.6961,-73.9681,2
40.7085,-73.9914,0
40.7176,-73.956,1
40.7222,-74.0028,0
40.7739,-73.9604,0
40.686,-73.9262,1
40.7443,-74.0068,0
40.7206,-73.9971,0
40.7759,-73.9762,0
40.7299,-73.9996,0
40.7537,-73.9807,0
40.7298,-73.9576,1
40.738,-73.988,0
40.7446,-73.987,0
40.7262,-73.9383,1
40.7589,-73.9724,0
40.7298,-73.9579,1
40.7331,-74.0074,0
40.7235,-73.9973,0
40.7398,-74.0028,0
40.7851,-73.957,0
40.721,-73.9963,0
40.6865,-73.9294,1
40.713,-73.9662,1
40.6464,-74.0003,-1
40.7257,-73.9519,1
40.7291,-73.9795,0
40.6404,-73.9514,-1
40.7425,-73.9996,0
40.7505,-73.9854,0
40.7184,-73.9864,0
40.8481,-73.9406,-1
40.7093,-73.9371,1
40.6763,-73.9529,2
